Ingrese tamaño de la matriz R
Ingrese gamma (-1 default)Ingrese alpha (-1 default)q matrix, only best values are printed xD
	0		1		2		3		4		5		6		7		8		9		10		11		12		13		14		15		16		17		18		19		20		21		22		23		24		25		26		27		28		29		30		31		32		33		34		35		36		37		38		39		40		41		42		43		44		45		46		47		48		49		
0:	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
1:	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
2:	0.00078711	0.00078711	0.00078711	0.00078711	0.00078711	0.00008053	0.00000615	0.00000000	0.00000000	0.00033740	0.00067481	0.00127466	0.00176220	0.00273730	0.00468750	0.00858789	0.01638868	0.03199026	0.06319340	0.12559970	0.25041229	0.50003749	0.00007496	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.12502810	0.25005621	0.50003749	0.00176174	0.00273638	0.00468565	0.00858418	0.01638126	0.03197542	0.06316373	0.12554036	0.25029361	0.49980012	
3:	0.00149925	0.00149925	0.00149925	0.00149925	0.00149925	0.00008609	0.00001230	0.00000000	0.00000000	0.00067481	0.00127466	0.00247435	0.00344945	0.00539964	0.00930004	0.01710082	0.03270240	0.06390554	0.12631184	0.25112444	0.50074965	1.00000000	0.00007496	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.25005621	0.50003749	1.00000000	0.00344852	0.00539779	0.00929633	0.01709341	0.03268756	0.06387588	0.12625250	0.25100577	0.50051224	0.99952525	
4:	0.00149925	0.00149925	0.00149925	0.00149925	0.00149925	0.00009722	0.00002460	0.00000000	0.00000000	0.00127466	0.00247435	0.00344945	0.00539964	0.00930004	0.01710082	0.03270240	0.06390554	0.12631184	0.25112444	0.50074965	1.00000000	0.50074965	0.00007496	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.50003749	1.00000000	0.50074965	0.00539779	0.00929633	0.01709341	0.03268756	0.06387588	0.12625250	0.25100577	0.50051224	0.99952525	0.49980012	
5:	0.00149925	0.00149925	0.00149925	0.00149925	0.00149925	0.00011948	0.00004920	0.00000000	0.00000000	0.00103088	0.00198680	0.00247435	0.00344945	0.00539964	0.00930004	0.01710082	0.03270240	0.06390554	0.12631184	0.25112444	0.50074965	1.00000000	0.00007496	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.25041229	0.50074965	1.00000000	0.00344852	0.00539779	0.00929633	0.01709341	0.03268756	0.06387588	0.12625250	0.25100577	0.50051224	0.99952525	
6:	0.00078711	0.00078711	0.00078711	0.00149925	0.00149925	0.00016399	0.00009840	0.00000000	0.00000000	0.00090899	0.00174303	0.00198680	0.00176220	0.00273730	0.00468750	0.00858789	0.01638868	0.03199026	0.06319340	0.12559970	0.25112444	0.50074965	0.00007496	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.12559970	0.25112444	0.50074965	0.00176174	0.00273638	0.00468565	0.00858418	0.01638126	0.03197542	0.06316373	0.12554036	0.25029361	0.49980012	
7:	0.00000000	0.00000000	0.00078711	0.00149925	0.00149926	0.00025301	0.00019681	0.00000000	0.00000000	0.00084805	0.00162114	0.00174303	0.00091858	0.00136865	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.06319340	0.12631184	0.25112444	0.00007496	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.06319340	0.12631184	0.25112444	0.00091835	0.00136819	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
8:	0.00000000	0.00000000	0.00078711	0.00149926	0.00149927	0.00043106	0.00039361	0.00000000	0.00000000	0.00081758	0.00156019	0.00162114	0.00049677	0.00068433	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.03199026	0.06390554	0.12631184	0.00007496	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.03199026	0.06390554	0.12631184	0.00049666	0.00068409	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
9:	0.00000000	0.00000000	0.00078711	0.00149927	0.00149928	0.00078717	0.00078723	0.00078734	0.00078758	0.00080234	0.00152972	0.00156019	0.00028587	0.00034216	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01638868	0.03270240	0.06390554	0.00007496	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01638868	0.03270240	0.06390554	0.00028581	0.00034205	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
